title,description,category,is_coherent
"Pothole on MG Road","There is a massive pothole near the bus stop on MG Road that is causing traffic issues.","road-transportation",1
"No water supply in Palasia","For the last 3 days, there has been no water in our area. We need a water tanker urgently.","water-supply",1
"Street light not working","The street light on pole number A-47 has not been working for a week. It is very dark at night.","street-lighting",1
"Garbage not collected","The garbage bin in our colony is overflowing. It hasn't been cleared for 4 days and is starting to smell.","sanitation",1
"Broken swing in park","A swing in Nehru Park is broken and is dangerous for children. Please repair it.","parks-recreation",1
"Frequent power cuts","We are experiencing multiple power cuts every day in the Vijay Nagar area.","electricity",1
"Illegal parking on street","Outsiders are parking their cars on our street, blocking access to our homes.","encroachment",1
"Loud music at night","A neighbor is playing very loud music late at night, causing a disturbance.","noise-pollution",1
"Clogged drain overflowing","The main drain on our street is clogged and dirty water is overflowing onto the road.","drainage",1
"Mosquito breeding in stagnant water","There is severe mosquito breeding in stagnant water pools behind the market creating a dengue risk.","health",1
"Sewage overflow on road","The sewage line is blocked and overflowing into the street. It's a major health hazard.","sanitation",1
"asd fghjkl","qwerty uiop zxcvbnm","spam",0
"buy cheap tickets now","best offer for you click here","spam",0
"hello world","this is a test message","spam",0
"make money fast","click this link for a surprise","spam",0
"free vacation giveaway","you have won a free trip","spam",0
"Street vendors blocking footpath","Street vendors have completely blocked the footpath, forcing pedestrians to walk on the busy road.","encroachment",1
"Industrial noise pollution","The nearby factory is creating excessive noise during the day and night, affecting our health and peace.","noise-pollution",1
"Manhole cover missing","A manhole cover is missing on the main road, creating a safety hazard for vehicles and pedestrians.","drainage",1
"Hospital waste not disposed properly","The local hospital is not properly disposing of its medical waste, creating a health hazard for the surrounding area.","health",1
"Unauthorised construction on main road","There is unauthorised construction happening on the main road without proper permits blocking pedestrian access","encroachment","1"
"Dilapidated building near school","The old building near the primary school is in dilapidated condition and could collapse anytime posing danger to children","road-transportation","1"
"Drainage chokes and blockage","The main drainage system is completely blocked causing water overflow during rains","sanitation","1"
"Overflowing manholes in residential area","Multiple manholes in our residential area are overflowing with sewage water creating unhygienic conditions","sanitation","1"
"Fire in residential building","There was a fire incident in the residential building due to electrical short circuit","electricity","1"
"Tree cutting without permission","Trees are being cut without proper permission from municipal authorities affecting the green cover","parks-recreation","1"
"Maintenance of garden required","The community garden requires proper maintenance as plants are dying and grass is overgrown","parks-recreation","1"
"Unauthorised hawkers blocking road","Street vendors have set up unauthorised stalls blocking the main road causing traffic congestion","encroachment","1"
"Hawking license not renewed","My hawking license has expired and despite applying for renewal it has not been processed","encroachment","1"
"Maintenance of municipal property needed","The municipal building in our area needs urgent maintenance as walls are cracking","road-transportation","1"
"Stray dogs creating nuisance","Pack of stray dogs in the area are attacking people and creating public nuisance","sanitation","1"
"Mosquito nuisance and fogging required","There is severe mosquito problem in the area due to stagnant water and fogging is urgently needed","sanitation","1"
"Potholes on main road","Multiple deep potholes on the main road are causing accidents and vehicle damage","road-transportation","1"
"Road relaying and repairs needed","The road surface has completely deteriorated and needs immediate relaying and repairs","road-transportation","1"
"Sewerage line blockage","The main sewerage line is blocked causing overflow of sewage water on the road","sanitation","1"
"Garbage not collected for days","Garbage has not been collected from our area for the past one week and it is creating health hazards","sanitation","1"
"Collection point not maintained","The garbage collection point is not being maintained properly and waste is scattered all around","sanitation","1"
"Dead animal removal needed","There is a dead cow on the road which has not been removed for three days causing foul smell","sanitation","1"
"Debris removal required","Construction debris has been lying on the roadside for weeks and needs to be cleared","sanitation","1"
"Storm water drainage blocked","Storm water drainage system is completely blocked causing waterlogging during rains","sanitation","1"
"Public toilet maintenance required","The public toilet facility is in very poor condition and requires immediate cleaning and maintenance","sanitation","1"
"Water supply shortage","There is acute shortage of water supply in our area with water coming only for 2 hours daily","water-supply","1"
"Missing manhole cover","Several manhole covers are missing on the main road creating safety hazard for vehicles and pedestrians","road-transportation","1"
"Water logging in residential area","During rains there is severe waterlogging in our residential area due to poor drainage system","sanitation","1"
"Pits on road need repair","There are multiple pits and depressions on the road that need urgent repair work","road-transportation","1"
"Sewer blockage and overflow","The sewer line is completely blocked and sewage is overflowing into the residential area","sanitation","1"
"Water contamination issue","The tap water is contaminated and has foul smell making it unfit for drinking","water-supply","1"
"Illegal boring for water","Illegal boring for groundwater is happening in the area without proper permissions","water-supply","1"
"Water pipe line leakage","Major water pipeline is leaking causing water wastage and reduced supply to residents","water-supply","1"
"Low pressure water supply","Water pressure is extremely low making it difficult to fill overhead tanks","water-supply","1"
"No water supply for days","There has been no water supply in our area for the past five days","water-supply","1"
"Short supply of water","Water supply duration has reduced to only one hour daily which is insufficient for daily needs","water-supply","1"
"Water tanker not coming regularly","The scheduled water tanker service is irregular and not coming as per fixed timings","water-supply","1"
"Bad patches and potholes on roads","Road surface has multiple bad patches and deep potholes causing damage to vehicles","road-transportation","1"
"Repairs and re-surfacing of roads needed","The road requires complete re-surfacing as the current surface is completely damaged","road-transportation","1"
"Unauthorised digging of road","Unauthorized digging work is being carried out on the road without proper permissions","road-transportation","1"
"Manhole cover missing","The manhole cover is missing creating safety hazard for pedestrians and vehicles","road-transportation","1"
"Street lighting not working","Multiple street lights are not working making the area dark and unsafe at night","street-lighting","1"
"Traffic signals not functioning","Traffic signals at the main intersection are not functioning properly causing traffic chaos","road-transportation","1"
"Speed breakers damaged","Speed breakers on the road are completely damaged and need reconstruction","road-transportation","1"
"Unauthorised stalls on roads","Street vendors have set up unauthorised stalls on the road blocking traffic movement","encroachment","1"
"Drainage chokes and blockages","Main drainage system is choked and blocked causing water accumulation during rains","sanitation","1"
"Overflowing drains and manholes","Drains and manholes are overflowing with sewage water creating unsanitary conditions","sanitation","1"
"Replacement of missing manhole cover","Missing manhole cover needs immediate replacement as it poses safety risk","road-transportation","1"
"Foul smell from drains","Strong foul smell is coming from the drains due to accumulated sewage and garbage","sanitation","1"
"Repairs to pipe sewers needed","Main sewer pipes are damaged and require urgent repair work","sanitation","1"
"Garbage not lifted from house","Garbage collection from residential area has stopped and waste is accumulating","sanitation","1"
"Municipal market garbage not cleared","Garbage from the municipal market has not been cleared for several days","sanitation","1"
"Authorized collection point overflowing","The authorized garbage collection point is overflowing and not being cleared regularly","sanitation","1"
"Removal of debris required","Construction and demolition debris needs to be removed from the public area","sanitation","1"
"Garbage lorry not coming","The garbage collection truck has not been coming to our area regularly","sanitation","1"
"Dustbins not provided","Adequate number of dustbins are not provided in the public areas","sanitation","1"
"Shortage of water supply","There is acute shortage of water supply affecting daily activities","water-supply","1"
"Leaks in water lines","Major leaks in the water distribution lines causing water wastage","water-supply","1"
"Burst in water main line","The main water supply line has burst causing complete stoppage of water supply","water-supply","1"
"Unauthorized water connection","Illegal water connections are being taken from the main supply line","water-supply","1"
"Contaminated water supply","Water supply is contaminated and not suitable for drinking purposes","water-supply","1"
"Birth certificate not issued","Applied for birth certificate but it has not been issued despite completing all formalities","sanitation","1"
"Death certificate delayed","Death certificate issuance is getting delayed due to bureaucratic procedures","sanitation","1"
"No water supply in school","The government school has no water supply affecting students and teaching staff","water-supply","1"
"No electricity in school","School building has no electricity supply disrupting classes and activities","electricity","1"
"School toilet not cleaned","School toilet facilities are not being cleaned regularly creating unhygienic conditions","sanitation","1"
"School furniture broken","Desks and chairs in the school are broken and need replacement","parks-recreation","1"
"No teacher in school","The school has been without proper teachers for several months affecting education","parks-recreation","1"
"Encroachment in school premises","Unauthorized encroachment has taken place in the school premises reducing playground area","encroachment","1"
"Municipal property not maintained","Municipal buildings and properties are not being maintained properly","parks-recreation","1"
"Municipal playground needs protection","The municipal playground needs boundary wall and protection from encroachment","parks-recreation","1"
"Garden maintenance required","Public garden requires regular maintenance as plants are dying","parks-recreation","1"
"Street light pole fallen","Electric street light pole has fallen on the road blocking traffic and creating safety hazard","street-lighting","1"
"Transformer making noise","Electrical transformer is making loud noise and sparking frequently","electricity","1"
"Power cut for hours","Frequent power cuts lasting for hours are affecting daily life and work","electricity","1"
"Electricity meter reading wrong","The electricity meter is showing incorrect high readings leading to excessive bills","electricity","1"
"Electric wires hanging low","High tension electric wires are hanging dangerously low posing electrocution risk","electricity","1"
"No street lighting","The entire stretch of road has no street lighting making it unsafe for night travel","street-lighting","1"
"Flickering street lights","Street lights are constantly flickering and not providing adequate illumination","street-lighting","1"
"Public toilet door broken","Public toilet facility has broken doors and locks compromising user privacy","sanitation","1"
"Urinal not working","Public urinal facility is not working and needs repair","sanitation","1"
"Sewage overflow near school","Sewage is overflowing from manholes near the school premises creating health risk for children","sanitation","1"
"Open drain without cover","Open drainage system does not have proper cover creating breeding ground for mosquitoes","sanitation","1"
"Garbage bin overflowing","Public garbage bins are consistently overflowing and not emptied regularly","sanitation","1"
"Illegal dumping of waste","Industrial waste is being illegally dumped in the residential area","sanitation","1"
"Stagnant water causing mosquitoes","Stagnant water in construction sites is causing mosquito breeding","sanitation","1"
"Public park gate locked","Public park gate remains locked preventing citizens from using recreational facilities","parks-recreation","1"
"Playground equipment broken","Children playground equipment is broken and unsafe for use","parks-recreation","1"
"Park benches damaged","Benches in the public park are damaged and need replacement","parks-recreation","1"
"Trees not trimmed","Overgrown tree branches are interfering with electric wires and need trimming","parks-recreation","1"
"Garden water supply stopped","Water supply to the public garden has been stopped affecting plant growth","parks-recreation","1"
"Footpath encroached by vendors","Street vendors have permanently encroached the footpath forcing pedestrians on road","encroachment","1"
"Illegal construction on plot","Unauthorized multi-story construction is happening on residential plot","encroachment","1"
"Parking on footpath","Vehicles are permanently parked on footpath blocking pedestrian movement","encroachment","1"
"Shop extension on road","Shop owner has extended structure onto public road without permission","encroachment","1"
"Banner without permission","Large advertising banners are put up without municipal permission","encroachment","1"
"Water tanker timing irregular","Municipal water tanker does not come at fixed timings causing inconvenience","water-supply","1"
"Borewell water contaminated","Community borewell water is contaminated and causing stomach problems","water-supply","1"
"Water connection not approved","Applied for new water connection but approval is pending for months","water-supply","1"
"Water bill incorrect","Water bill shows excessive consumption despite normal usage","water-supply","1"
"Fire station response delayed","Fire station response time is very slow during emergency calls","electricity","1"
"Ambulance service poor","Emergency ambulance service is inadequate and unreliable","sanitation","1"
"Building plan approval delayed","Building plan approval is getting delayed without proper reason","road-transportation","1"
"Property tax assessment wrong","Property tax assessment is incorrect and much higher than actual property value","road-transportation","1"
"Marriage certificate not issued","Marriage certificate is not being issued despite submitting all required documents","sanitation","1"
"Trade license renewal delayed","Trade license renewal application is pending for several months","encroachment","1"
"No parking space marked","Public areas do not have designated parking spaces leading to chaotic parking","road-transportation","1"
"Bus stop shelter collapsed","Bus stop shelter has collapsed and not been reconstructed","road-transportation","1"
"Zebra crossing faded","Zebra crossing markings have completely faded and need repainting","road-transportation","1"
"Traffic police booth damaged","Traffic police booth at intersection is damaged and abandoned","road-transportation","1"
"CCTV cameras not working","Security CCTV cameras installed by municipality are not functioning","road-transportation","1"
